navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
SØRFJORD 1,80474,,2013,NORDKRAFT PRODUKSJON AS,68.06453000662987,16.666002001314634
ILMENITSMELTEVERKET,71158,,1985,TIZIR TITANIUM & IRON AS,60.11491020904249,6.554872418897726
MYKSTUFOSS-L1-T,81021,,1964,GLITRE ENERGI NETT AS,60.03767201204836,9.2200490737875
LEIVOLL OMFORMERSTASJON,81514,,2003,BANE NOR SF,58.26669042835524,7.452810617556485
S1B SANDEM SEKUNDÆRSTASJON,,,,NORGESNETT AS,59.23738050735021,11.008072430744058
SKORGE,80523,,1970,LINJA AS,61.99896409690465,5.459019687824437
GREFTEN TRST,,,1983,ELVIA AS,60.85247731697083,11.202989526225167
JESSHEIM OMFORMERSTASJON,81511,,1996,BANE NOR SF,60.14258830762703,11.152149596219495
SANDVIKSKOLLEN,80687,,1970,SKAGERAK KRAFT AS,59.18178392273431,8.446856391811085
NESET,81522,,2018,LUSTER ENERGIVERK AS,61.48737007554437,7.003930803076798
CN PRESTNESET,,,2001,LOFOTKRAFT AS,68.098704559104,13.33940717915622
BN NAPPSHOLMEN,,,1998,LOFOTKRAFT AS,68.1379375320024,13.453393073109414
,,,,,58.95795824670924,5.723601994287085
HEGGENES TRST,,,2005,ELVIA AS,61.157495978261004,9.04798149000662
KVITUR_MU2,81053,,1986,ODDA ENERGI NETT AS,60.09226698219082,6.5498863794276305
HAGE TRSF.ST.,,,1984,ELVIA AS,61.1014952719061,10.473732186998474
,,,,,58.77871010720288,5.660318208057544
BH BISKOPSJORD,,,1987,LOFOTKRAFT AS,68.19752597873216,13.880943630408096
GRAVFOSS,81033,,1931,GLITRE ENERGI PRODUKSJON AS,59.93064321964792,9.947882704533916
LANGDALEN,,,,RØDØY-LURØY KRAFTVERK AS,66.51787890094295,13.007627358506095
,,,,,58.81545144053305,5.7343007401973844
,,,,,59.03177099788449,6.023329248788616
NEDRE SVULTINGEN,,,1964,SUNNFJORD ENERGI AS,61.15438784758757,5.350006515454139
,,,,,59.16566900372671,5.874883055004367
LOGSMYR,77686,,1960,TITANIA AS,58.30958346307972,6.412122188710565
LØDINGEN TRANSFORMATORSTASJON,,,1975,HÅLOGALAND KRAFT NETT AS,68.41790580606036,15.981707958249675
